iter	Passed	Remaining
0	3	7168
1	10	10430
2	15	10641
3	20	10240
4	25	10224
5	29	9811
6	33	9420
7	36	9119
8	42	9404
9	46	9164
10	49	8907
11	52	8771
12	57	8851
13	62	8835
14	65	8685
15	69	8578
16	73	8614
17	77	8510
18	81	8523
19	84	8405
20	89	8439
21	92	8354
22	96	8282
23	102	8465
24	111	8788
25	119	9090
26	126	9270
27	134	9458
28	138	9424
29	142	9339
30	145	9233
31	149	9167
32	155	9253
33	160	9255
34	162	9142
35	165	9053
36	168	8952
37	171	8848
38	173	8747
39	177	8694
40	180	8623
41	184	8579
42	187	8515
43	190	8456
44	193	8402
45	196	8330
46	199	8289
47	202	8225
48	205	8168
49	207	8100
50	210	8035
51	213	7991
52	216	7938
53	218	7885
54	221	7849
55	224	7804
56	227	7756
57	230	7727
58	233	7696
59	237	7679
60	249	7943
61	252	7897
62	255	7845
63	257	7797
64	261	7774
65	264	7746
66	267	7714
67	270	7681
68	273	7653
69	278	7679
70	281	7652
71	293	7869
72	311	8210
73	315	8200
74	319	8189
75	322	8175
76	327	8175
77	331	8169
78	335	8146
79	338	8121
80	342	8117
81	345	8088
82	348	8059
83	351	8025
84	355	8001
85	358	7988
86	362	7976
87	368	8004
88	371	7967
89	383	8134
90	387	8120
91	391	8109
92	395	8102
93	398	8084
94	402	8080
95	411	8169
96	415	8152
97	418	8130
98	422	8112
99	426	8104
100	429	8071
101	432	8040
102	435	8014
103	438	8002
104	443	7996
105	445	7967
106	448	7938
107	452	7926
108	455	7905
109	458	7879
110	461	7857
111	464	7829
112	467	7809
113	471	7800
114	474	7777
115	477	7748
116	480	7729
117	482	7703
118	487	7705
119	490	7681
120	493	7655
121	495	7631
122	498	7613
123	502	7600
124	505	7579
125	508	7557
126	510	7532
127	513	7508
128	516	7490
129	519	7475
130	523	7462
131	525	7439
132	528	7417
133	531	7404
134	535	7396
135	538	7377
136	541	7365
137	544	7347
138	548	7338
139	551	7321
140	553	7300
141	556	7281
142	559	7261
143	561	7240
144	565	7233
145	568	7214
146	570	7194
147	573	7182
148	577	7168
149	580	7161
150	584	7156
151	587	7147
152	590	7128
153	593	7109
154	596	7102
155	600	7093
156	602	7075
157	605	7057
158	607	7038
159	611	7031
160	615	7027
161	618	7011
162	620	6994
163	623	6978
164	626	6969
165	630	6961
166	633	6951
167	635	6934
168	638	6917
169	641	6903
170	644	6896
171	647	6881
172	650	6867
173	652	6852
174	655	6836
175	659	6830
176	662	6822
177	665	6807
178	667	6792
179	670	6779
180	673	6765
181	676	6759
182	679	6746
183	682	6731
184	684	6715
185	687	6700
186	690	6694
187	693	6687
188	696	6674
189	699	6662
190	702	6649
191	704	6635
192	708	6632
193	711	6619
194	713	6605
195	716	6592
196	719	6583
197	722	6579
198	726	6575
199	729	6563
200	731	6550
201	734	6538
202	738	6535
203	741	6527
204	743	6514
205	746	6502
206	749	6491
207	753	6490
208	756	6481
209	760	6480
210	764	6479
211	767	6469
212	770	6467
213	773	6458
214	776	6446
215	779	6434
216	781	6422
217	785	6416
218	793	6450
219	795	6438
220	798	6426
221	802	6423
222	804	6413
223	807	6402
224	810	6391
225	812	6381
226	815	6373
227	819	6369
228	822	6360
229	825	6349
230	827	6337
231	830	6326
232	833	6324
233	836	6314
234	839	6303
235	841	6293
236	844	6282
237	847	6277
238	851	6272
239	853	6262
240	856	6251
241	859	6241
242	861	6230
243	865	6230
244	868	6222
245	871	6211
246	873	6201
247	876	6190
248	879	6184
249	882	6177
250	885	6167
251	887	6157
252	890	6147
253	892	6137
254	897	6138
255	900	6131
256	902	6120
257	905	6111
258	907	6102
259	911	6102
260	916	6103
261	919	6096
262	922	6090
263	924	6081
264	928	6078
265	931	6072
266	935	6074
267	939	6068
268	942	6067
269	946	6066
270	949	6058
271	952	6050
272	955	6043
273	959	6041
274	969	6083
275	973	6078
276	977	6080
277	981	6079
278	985	6077
279	991	6090
280	995	6090
281	998	6085
282	1001	6077
283	1004	6069
284	1009	6073
285	1013	6072
286	1016	6067
287	1020	6064
288	1024	6064
289	1029	6069
290	1032	6064
291	1035	6059
292	1043	6080
293	1047	6077
294	1050	6071
295	1055	6078
296	1059	6077
297	1063	6072
298	1066	6066
299	1070	6068
300	1075	6073
301	1079	6072
302	1083	6065
303	1088	6071
304	1092	6070
305	1095	6066
306	1099	6064
307	1118	6144
308	1131	6190
309	1137	6202
310	1141	6197
311	1144	6193
312	1148	6192
313	1153	6194
314	1156	6187
315	1160	6182
316	1162	6173
317	1168	6179
318	1171	6172
319	1174	6164
320	1176	6156
321	1179	6147
322	1184	6150
323	1187	6144
324	1190	6136
325	1193	6128
326	1197	6124
327	1204	6142
328	1207	6133
329	1210	6125
330	1216	6131
331	1219	6125
332	1222	6120
333	1225	6111
334	1229	6109
335	1234	6111
336	1237	6106
337	1240	6097
338	1242	6090
339	1248	6095
340	1251	6089
341	1254	6081
342	1257	6072
343	1261	6071
344	1265	6069
345	1268	6063
346	1271	6056
347	1274	6048
348	1278	6050
349	1282	6044
350	1284	6035
351	1287	6027
352	1290	6021
353	1294	6019
354	1297	6011
355	1299	6003
356	1302	5994
357	1305	5989
358	1309	5988
359	1312	5980
360	1315	5972
361	1318	5964
362	1320	5956
363	1324	5953
364	1327	5945
365	1329	5937
366	1332	5929
367	1335	5921
368	1339	5918
369	1341	5911
370	1344	5904
371	1347	5896
372	1350	5888
373	1352	5880
374	1356	5877
375	1359	5870
376	1361	5861
377	1364	5854
378	1366	5846
379	1370	5841
380	1373	5835
381	1375	5828
382	1378	5820
383	1381	5815
384	1384	5808
385	1388	5804
386	1390	5797
387	1393	5789
388	1396	5781
389	1398	5773
390	1401	5768
391	1404	5762
392	1407	5755
393	1410	5748
394	1412	5740
395	1415	5733
396	1419	5730
397	1422	5725
398	1425	5718
399	1427	5711
400	1430	5705
401	1434	5702
402	1437	5695
403	1440	5689
404	1443	5683
405	1446	5678
406	1450	5677
407	1453	5672
408	1456	5666
409	1459	5659
410	1462	5652
411	1465	5650
412	1469	5644
413	1471	5637
414	1474	5630
415	1477	5624
416	1480	5619
417	1484	5619
418	1487	5612
419	1489	5605
420	1492	5597
421	1495	5591
422	1499	5589
423	1502	5582
424	1504	5576
425	1507	5569
426	1509	5562
427	1513	5560
428	1516	5554
429	1519	5547
430	1521	5540
431	1524	5533
432	1527	5527
433	1545	5575
434	1548	5572
435	1552	5569
436	1555	5564
437	1560	5563
438	1563	5560
439	1566	5554
440	1569	5548
441	1572	5541
442	1574	5535
443	1578	5532
444	1581	5525
445	1583	5519
446	1586	5512
447	1589	5506
448	1593	5504
449	1596	5498
450	1598	5491
451	1601	5485
452	1604	5478
453	1606	5471
454	1611	5472
455	1614	5465
456	1616	5459
457	1620	5455
458	1623	5452
459	1634	5472
460	1637	5466
461	1641	5463
462	1644	5459
463	1647	5453
464	1650	5446
465	1652	5440
466	1656	5436
467	1659	5432
468	1662	5426
469	1665	5420
470	1667	5413
471	1670	5407
472	1673	5403
473	1676	5397
474	1679	5392
475	1682	5385
476	1684	5379
477	1688	5375
478	1691	5370
479	1693	5363
480	1696	5357
481	1698	5350
482	1701	5343
483	1705	5341
484	1708	5336
485	1710	5329
486	1713	5323
487	1716	5317
488	1718	5311
489	1722	5307
490	1725	5302
491	1727	5295
492	1730	5290
493	1733	5283
494	1737	5282
495	1740	5276
496	1742	5270
497	1745	5264
498	1748	5258
499	1751	5255
500	1754	5250
501	1757	5243
502	1759	5237
503	1762	5231
504	1765	5225
505	1768	5222
506	1771	5217
507	1774	5210
508	1776	5205
509	1779	5198
510	1782	5193
511	1797	5223
512	1802	5224
513	1805	5220
514	1809	5216
515	1812	5211
516	1816	5209
517	1819	5204
518	1822	5199
519	1824	5193
520	1828	5189
521	1832	5188
522	1835	5184
523	1838	5179
524	1841	5173
525	1843	5167
526	1847	5164
527	1851	5160
528	1853	5154
529	1856	5149
530	1859	5143
531	1861	5137
532	1872	5153
533	1875	5147
534	1878	5143
535	1881	5139
536	1884	5133
537	1887	5128
538	1889	5122
539	1892	5116
540	1896	5115
541	1899	5110
542	1902	5104
543	1905	5098
544	1907	5092
545	1911	5090
